3.44	76.92	61.13	47.49	2226	11.05	27
4.07	91.83	38.58	62.59	1858	12.92	27
7.11	95.96	39.63	49.28	2525	10.02	27
2.44	85.57	38.45	46.57	1836	10.02	27
7.42	97.5	38.91	41.07	1201	10.91	27
8.71	92.01	49.3	47.89	1154	10.49	28
5.25	98.06	25.95	70.1	2018	12.69	28
4.5	98.66	41.16	43.93	2647	10.09	28
7.43	95.4	42.5	43.18	3759	12.9	28
9.32	95.97	30.18	72.69	1612	11.85	28
8.36	92.77	34.9	30.84	2834	12.7	28
8.47	98.38	46.55	46.36	2369	11.02	28
8.39	97.37	39.09	29.92	4188	12.32	28
6.79	91.1	43.05	37.25	2279	12.42	28
3.45	94.42	65.63	35.45	2980	11.41	28
3.89	87.27	61.73	35.62	2859	11.61	28
6.57	95.64	40.62	44.17	4247	10.62	30
11.54	87.6	41.89	44.26	2366	11.12	30
5.29	87.9	38.72	49.27	3210	11	30
4.87	94.32	33.4	43.8	2659	10.53	30
10.24	85.55	64.48	36.38	2916	10.56	30
9.57	85.7	57.34	32.31	3553	11.23	30
9.45	95.16	45.51	63.08	1543	11.6	31
15.3	92.95	38.64	85.34	865	7.86	31
11.65	91.66	47.96	81.55	1833	9.27	31
21.06	94.57	39.59	83.35	762	7.35	31
12.44	94.69	32.83	64.82	919	6.96	31
6.17	87.71	43.18	49.62	1770	9.49	31
5.54	97.87	38.88	53.81	1986	9.87	31
8.94	94.18	51.5	69.2	1446	8.3	31
4.44	93.28	36.2	58.21	1360	7.72	31
12.41	81.88	56.81	35.11	4847	11.68	32
12.25	84.41	60.65	34.6	4019	12.09	32
11.53	87.6	53.71	38.69	1884	10.88	32
17.88	84.09	58.36	29.79	5232	10.11	32
13.05	61.69	60.85	31.5	3295	12.38	32
10.36	95.54	56.66	28.86	1087	11.5	32
20.49	86.89	74.59	33.51	3051	10.72	32
9.08	66.29	59.28	28.76	2668	11.69	32
5.31	58.31	51.93	46.16	1338	12.71	33
16.02	87.22	47.75	69.3	1443	10.46	33
3.12	91.13	36.59	62.82	1035	14.78	33
10.63	80.4	55.09	54.22	1142	12.43	33
1	76.77	45.28	30.71	521	13.63	33
5.57	64.26	52.35	35.78	2467	14.55	33
4.83	76.26	58.1	50.16	1434	12.06	33
1.19	85.84	57.94	44.81	2320	11.08	33
4.49	82.02	51.19	29.34	1329	9.41	33
7.73	91.05	36.28	38.91	2020	9.65	33
6.3	70.48	59.64	43.5	1793	10.88	34
8.34	80.41	43.97	36.51	2106	8.55	34
6.36	79.29	64.66	32.59	3145	11.45	34
2.86	92.62	69.59	48.37	487	5.34	34
8.21	66.49	63.35	37.23	845	6.15	34
9.41	88.77	54.4	38.37	3348	10.51	34
5.99	89.64	72.45	28.27	995	7.44	34
5.25	96	62.4	46.82	1707	11.66	35
3.67	95.98	37.55	41.27	2101	12.85	35
4.45	99	49.33	56.01	1481	10.67	35
8.13	97.53	37.71	57.82	1415	7.42	35
4.66	89.76	77.49	45.79	2298	9.88	35
4.13	93.78	44.85	28.14	2189	10.23	35
6.32	99	43.15	25.48	2213	11.52	36
5.8	98.94	28.11	40.97	1206	10.45	36
11.1	96.27	28.44	44.49	1729	10.58	36
14.76	98.13	37.5	27.65	2322	12.14	36
8.94	99	33.68	33.23	2038	9.91	36
11.14	99	32.39	43.82	1455	12.44	36
3.79	95.8	47.81	31.06	2402	11.74	36
3.74	99	41.06	28.49	1132	13.78	36
5.31	99	28.18	52.78	1995	12.03	36
3.96	99	43.41	41.72	2749	9.09	36
2.86	97.48	45.84	54.91	1972	12.58	36
5.96	97.68	42.52	54.16	1967	12.96	36
2.76	99	49.73	42.46	2400	10.5	36
3.4	97.41	32.22	31.21	1374	10.33	37
5.86	97.26	38.32	46.11	1923	10.5	37
1.85	95.63	48.53	45.65	1066	9.01	37
4.53	99	36.37	46.54	1321	9.24	37
1.43	99	13.46	73.61	615	7.97	37
2.56	87.95	36.01	56.88	1449	10.97	37
1.78	99	52.89	85.84	540	11.11	37
1.43	87.88	43.78	62.34	1495	9.23	37
4.6	98.02	33.63	52.87	1564	11.57	37
11.97	84.41	39.83	71.75	1431	11.95	38
18.17	94.24	48.34	55.73	1755	10.31	38
15.04	81.26	74.22	40.95	1917	10.95	38
9.35	90.52	52.02	57.34	1348	10.24	38
14.02	92.04	63.35	46.71	1770	12.37	38
9.48	95.37	38.36	45.8	1237	10.35	38
12.2	98.39	56.55	52.39	1729	11.16	38
13.9	77.26	67.83	54.58	1040	10.29	38
18.26	92.67	41.28	56.43	2112	11.41	38
14.39	99	73.74	59.4	1161	8.79	40
11.65	97.77	33.26	43.94	1449	10.77	40
15.16	99	44.42	44.65	2087	8.62	40
16.17	98.89	41.82	47.88	1484	13.61	40
9.07	98.3	64.27	47.24	1515	11.29	40
16.34	99	46.76	31.7	3723	9.8	40
11.28	90.52	46.54	31.78	1791	11.61	40
11.72	98.36	25.41	49.45	2093	10.94	40
7	98.82	25.27	24.29	1882	12.01	40
17.01	99	28.85	51.87	731	10.81	40
5.42	91.03	63.93	31.65	2654	10.7	41
4.95	89.14	81.94	16.96	1054	6.55	41
5.18	96.23	39.31	34.37	1690	7.46	41
