    -0.120     0.348     1.677    -0.021     1.096    -0.509    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.002     0.001     0.037     0.722     0.002     0.236     2.000     1.000     4.000  438  64
     1.173    -0.972     2.097     0.720    -0.600    -0.969    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.010     0.001     0.029     0.916     0.001     0.043     2.000     1.000     4.000  439  64
    -0.828     0.273    -0.299    -1.060     0.040    -0.288    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.001     0.010     0.470     0.011     0.507     2.000     3.000     6.000    2   2
    -0.297     0.171     1.403    -0.489     0.495    -0.689    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.000     0.010     0.863     0.002     0.124     2.000     1.000     4.000    3   2
    -0.596     0.487    -0.406    -1.173     0.354     0.215    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.001     0.010     0.005     0.032     0.952     2.000     3.000     6.000    4   2
    -0.665    -0.167    -0.533    -0.139     0.021    -1.173    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.003     0.008     0.858     0.012     0.119     2.000     1.000     4.000    5   2
    -1.304    -0.140    -0.132    -1.374    -1.278    -0.662    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.002     0.001     0.009     0.903     0.002     0.084     2.000     1.000     4.000    6   2
     0.043     0.793    -1.286    -1.426    -0.184    -0.202    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.001     0.010     0.273     0.019     0.696     2.000     3.000     6.000    7   2
    -0.134     0.123     2.625    -0.993    -0.369    -0.380    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.054     0.005     0.745     0.161     0.000     0.035     1.000     3.000     3.000 1389 115
     0.139     0.949    -0.347     1.513    -0.932    -0.272    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.016     0.071     0.716     0.116     0.002     0.078     1.000     3.000     3.000 1390 115
     1.037    -0.033    -0.592     0.062     0.264     0.169    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.109     0.695     0.001     0.008     0.187     1.000     3.000     3.000 1391 115
     0.928    -0.682     0.073    -0.880    -0.228     0.342    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.105     0.699     0.000     0.007     0.188     1.000     3.000     3.000 1392 115
    -0.719    -0.537    -1.374     1.389     0.399     0.413    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.155     0.649     0.000     0.012     0.184     1.000     3.000     3.000 1393 115
     0.615     0.257     0.034     0.725     0.008     2.070    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.801     0.003     0.000     0.194     0.002     1.000     2.000     2.000 1394 115
     0.357     0.042    -0.250     0.870     0.559     0.809    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.346     0.581     0.000     0.010     0.063     1.000     3.000     3.000  143  30
     0.234     0.165     0.767    -0.870     0.879    -0.202    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.004     0.052     0.871     0.017     0.001     0.055     1.000     3.000     3.000  144  30
     1.677     1.990     0.474    -0.824     0.802     1.535    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.878     0.049     0.000     0.060     0.013     1.000     2.000     2.000  145  30
